pa,en,pos,note
ਚਲਾਉਣਾ,drive,v,i
ਸਮਝਾਉਣਾ,explain,v,i
ਗੁਆਉਣਾ,lose,v,i
ਬਣਾਉਣਾ,make,v,i
ਬਚਾਉਣਾ,save/rescue,v,i
ਿਦਖਾਉਣਾ,show,v,i
ਗਾਉਣਾ,sing,v,i
ਿਸਖਾਉਣਾ,teach,v,i
ਲੈਣਾ,take/receive,v,i
ਪੀਣਾ,drink,v,i
ਸੌਣਾ,sleep,v,i
ਰੋਟੀ,bread,n,f
ਖ਼ਰੀਦਣਾ,buy,v,i
ਗੱਡੀ,car,n,fs
ਕੁਰਸੀ,chair,n,fs
ਕੱਪੜੇ,clothes,n,m
ਸੌਖਾ,easy,adj,
ਔਖਾ,hard,adj,
ਮਹੱਤਵਪੂਰਣ,important,adj,
ਿਦਲਚਸਪ,interesting,adj,
ਪੈਸਾ,money,n,m
ਜ਼ਰੂਰੀ,necessary,adj,
ਕਮਰਾ,room,n,m
ਜੁੱਤੀਆਂ,shoes,n,fp
ਚੁੱਪ,silence,n,f
ਤਾਂਿਕ,so that,c,
ਚਾਹੁਣਾ,want,v,i
ਪਾਣੀ,water,n,m
ਵਜੇ,chimes/o'clock,n,m
ਪੈਣਾ,have/must/to fall(rain/snow),v,i
ਮੀਂਹ,rain,n,m
ਚਾਹੀਦਾ,should,?,
ਬਰਫ਼,snow/ice,n,f
ਤਕ,until/up to,p,
ਇਕ,one,#,
ਦੋ,two,#,
ਿਤੰਨ,three,#,
ਚਾਰ,four,#,
ਪੰਜ,five,#,
ਛੇ,six,#,
ਸੱਤ,seven,#,
ਅੱਠ,eight,#,
ਨੌ,nine,#,
ਦਸ,ten,#,
ਿਗਆਰਾਂ,eleven,#,
ਬਾਰਹਾਂ,twelve,#,
ਸਾਰਾ,all,?,
ਬੁਰਾ,bad,adj,
ਸੋਹਣਾ,beautiful,adj,
ਵੱਡਾ,big,adj,
ਵੱਖਰਾ,different,adj,
ਮੋਟਾ,fat,adj,
ਪਿਹਲਾ,first,adj,
ਉਸ ਦਾ,his/her,pn,3sP
ਲੰਬਾ,long/tall,adj,
ਨਵਾਂ,new,adj,
ਅਗਲਾ,next,adj,
ਪੁਰਾਣਾ,old,adj,
ਦੂਜਾ,other/second,adj,
ਦੂਸਰਾ,other/second,adj,
ਛੋਟਾ,small/short,adj,
ਉਹਨਾਂ ਦਾ,their,pn,3pP
ਥੋੜਹਾ,tiny/little,adj,
ਬਹੁਤ,very,?,
ਜਵਾਬ ਦੇਣਾ,answer,v,cm
ਕਦਰ ਕਰਨੀ,appreciate,v,cf
ਸ਼ੁਰੂ ਕਰਨਾ,begin/start,v,cm
ਫ਼ੈਸਲਾ ਕਰਨਾ,decide,v,cm
ਆਨੰਦ ਮਾਣਨਾ,enjoy,v,cm
ਖਤਮ ਕਰਨਾ,finish,v,cm
ਮਦਦ ਕਰਨੀ,help,v,cf
ਿਕਵੇਂ,how,?,
ਿਕੰਨਾ,how much/many,?,
ਿਪਆਰ ਕਰਨਾ,love,v,cm
ਵਾਅਦਾ ਕਰਨਾ,promise,v,cm
ਯਾਦ ਰੱਖਣੀ,remember,v,cf
ਯਾਦ ਕਰਾਉਣੀ,remind,v,cf
ਕੋਿਸ਼ਸ਼ ਕਰਨੀ,try,v,cf
ਕੀ,what,?,
ਕਦੋਂ,when,?,
ਿਕਥੇ,where,?,
ਿਕਹੜਾ,which,?,
ਕੌਣ,who,?,
ਿਕਉਂ,why,?,
ਕੰਮ ਕਰਨਾ,work,v,cm
